rank,token,count,fileCount,reason,suggestedPronunciation,sameAsOriginal,score,qualityFlags,autoDecision,reviewerDecision,reviewerNote
2,Ebû,61482,1108,circumflex,Ebû,true,550,same_as_original|short_token|very_high_frequency,review,,
3,teâlâ,50949,788,circumflex,teâlâ,true,550,same_as_original|very_high_frequency,review,,
4,âyet,37368,1062,circumflex,âyet,true,550,same_as_original|very_high_frequency,review,,
5,Cenâb,37301,165,circumflex,Cenâb,true,550,same_as_original|very_high_frequency,review,,
6,Ebî,34887,327,circumflex,Ebî,true,550,same_as_original|short_token|very_high_frequency,review,,
7,âyeti,30723,933,circumflex,âyeti,true,550,same_as_original|very_high_frequency,review,,
8,âyetini,29345,507,circumflex,âyetini,true,550,same_as_original|very_high_frequency,review,,
9,Abbâs,29019,565,circumflex,Abbâs,true,550,same_as_original|very_high_frequency,review,,
10,aleyhisselâm,25338,650,circumflex,aleyhisselâm,true,550,same_as_original|very_high_frequency,review,,
11,Resûlüllah,23292,532,circumflex,Resûlüllah,true,550,same_as_original|very_high_frequency,review,,
12,Resûlullah,22730,164,circumflex|specialized-legacy,Resûlullah,true,570,same_as_original|very_high_frequency,review,,
13,Hâtim,22611,150,circumflex,Hâtim,true,550,same_as_original|very_high_frequency,review,,
14,Cerîr,22429,177,circumflex,Cerîr,true,550,same_as_original|very_high_frequency,review,,
15,Allah'tan,17519,883,apostrophe,Allahtan,false,565,apostrophe_only|very_high_frequency,accept,,
16,inkâr,16914,955,circumflex,inkâr,true,550,same_as_original|very_high_frequency,review,,
17,Abdullah,16811,743,specialized-legacy,Abdullah,true,520,same_as_original|very_high_frequency,review,,
18,rivâyet,15903,489,circumflex,rivâyet,true,550,same_as_original|very_high_frequency,review,,
19,îman,15880,628,circumflex,îman,true,550,same_as_original|very_high_frequency,review,,
20,âyetin,15036,743,circumflex,âyetin,true,550,same_as_original|very_high_frequency,review,,
21,Binâenaleyh,14427,150,circumflex,Binâenaleyh,true,550,same_as_original|very_high_frequency,review,,
22,âyette,13980,736,circumflex,âyette,true,550,same_as_original|very_high_frequency,review,,
23,Mûsa,13934,491,circumflex,Mûsa,true,550,same_as_original|very_high_frequency,review,,
24,Kur'ân,13047,808,circumflex|apostrophe,Kur'ân,true,580,same_as_original|very_high_frequency,review,,
25,Âyet,12672,647,circumflex,Âyet,true,550,same_as_original|very_high_frequency,review,,
26,delâlet,12641,509,circumflex,delâlet,true,550,same_as_original|very_high_frequency,review,,
27,Âyetin,12022,704,circumflex,Âyetin,true,550,same_as_original|very_high_frequency,review,,
28,Katâde,9451,443,circumflex,Katâde,true,550,same_as_original|very_high_frequency,review,,
29,Beyhakî,9430,225,circumflex,Beyhakî,true,550,same_as_original|very_high_frequency,review,,
31,Mücâhid,8890,359,circumflex,Mücâhid,true,550,same_as_original|very_high_frequency,review,,
32,Merdûye,8889,135,circumflex,Merdûye,true,550,same_as_original|very_high_frequency,review,,
33,âyetinde,8698,680,circumflex,âyetinde,true,550,same_as_original|very_high_frequency,review,,
34,celâlühü,8512,146,circumflex,celâlühü,true,550,same_as_original|very_high_frequency,review,,
35,kâfir,8205,734,circumflex,kâfir,true,550,same_as_original|very_high_frequency,review,,
36,Tirmizî,7772,503,circumflex,Tirmizî,true,550,same_as_original|very_high_frequency,review,,
37,kâfirler,7632,835,circumflex,kâfirler,true,550,same_as_original|very_high_frequency,review,,
38,Zeccâc,7604,333,circumflex,Zeccâc,true,550,same_as_original|very_high_frequency,review,,
39,Buhârî,7310,368,circumflex,Buhârî,true,550,same_as_original|very_high_frequency,review,,
40,ifâde,7107,216,circumflex,ifâde,true,550,same_as_original|very_high_frequency,review,,
41,kâfirlerin,6744,697,circumflex,kâfirlerin,true,550,same_as_original|very_high_frequency,review,,
42,Saîd,6678,243,circumflex,Saîd,true,550,same_as_original|very_high_frequency,review,,
43,helâk,6509,553,circumflex,helâk,true,550,same_as_original|very_high_frequency,review,,
44,Âyette,6111,518,circumflex,Âyette,true,550,same_as_original|very_high_frequency,review,,
45,aleyhisselam,6076,222,specialized-legacy,aleyhisselaam,false,555,very_high_frequency,accept,,
46,sallallahu,6050,122,specialized-legacy,sallallahu,true,520,same_as_original|very_high_frequency,review,,
47,helâl,5731,310,circumflex,helâl,true,550,same_as_original|very_high_frequency,review,,
48,ilâh,5665,535,circumflex,ilâh,true,550,same_as_original|very_high_frequency,review,,
49,Resûlü,5655,205,circumflex,Resûlü,true,550,same_as_original|very_high_frequency,review,,
50,Resulullah,5627,240,specialized-legacy,Resulullah,true,520,same_as_original|very_high_frequency,review,,
51,hâlde,5434,331,circumflex,hâlde,true,550,same_as_original|very_high_frequency,review,,
52,Kur'ân'ın,5297,595,circumflex|apostrophe,Kur'ân'ın,true,580,same_as_original|very_high_frequency,review,,
53,Meselâ,5225,407,circumflex,Meselâ,true,550,same_as_original|very_high_frequency,review,,
54,âhirette,5211,563,circumflex,âhirette,true,550,same_as_original|very_high_frequency,review,,
55,lâfzı,5173,387,circumflex,lâfzı,true,550,same_as_original|very_high_frequency,review,,
56,Âdem,5089,425,circumflex,Âdem,true,550,same_as_original|very_high_frequency,review,,
58,âyetleri,5016,624,circumflex,âyetleri,true,550,same_as_original|very_high_frequency,review,,
59,ilâhî,4918,396,circumflex,ilâhî,true,550,same_as_original|very_high_frequency,review,,
60,âyetlerini,4910,601,circumflex,âyetlerini,true,550,same_as_original|very_high_frequency,review,,
61,âyetinin,4882,432,circumflex,âyetinin,true,550,same_as_original|very_high_frequency,review,,
62,Mâlik,4879,339,circumflex,Mâlik,true,550,same_as_original|very_high_frequency,review,,
63,câiz,4837,295,circumflex,câiz,true,550,same_as_original|very_high_frequency,review,,
64,Yûsuf,4765,171,circumflex,Yûsuf,true,550,same_as_original|very_high_frequency,review,,
65,Kur'ân'ı,4713,611,circumflex,Kur'ân'ı,true,550,same_as_original|very_high_frequency,review,,
66,Hâkim,4711,230,circumflex,Hâkim,true,550,same_as_original|very_high_frequency,review,,
67,Mukâtil,4710,329,circumflex,Mukâtil,true,550,same_as_original|very_high_frequency,review,,
69,Nesâî,4666,289,circumflex,Nesâî,true,550,same_as_original|very_high_frequency,review,,
70,Sûresi'nde,4641,299,circumflex|apostrophe,Sûresinde,false,615,very_high_frequency,accept,,
71,Kur'an,4539,351,apostrophe,Kuran,false,565,apostrophe_only|very_high_frequency,accept,,
